Appname,Overall rating,Total Number of Reviews,Downloads,age
muvin: Teenagers Payment App,4.4,981,100K+,Rated for 3+
Ola Money - Wallet payments,2.6,30.3K ,1M+,Rated for 3+
Samsung Wallet (Samsung Pay),4.3,1.1M ,100M+,Rated for 3+
postpe - shop now pay later,4.6,126K ,1M+,Rated for 3+
Google Pay: Secure UPI payment,4.3,8.27M ,500M+,Rated for 3+
"PhonePe UPI, Payment, Recharge",4.4,8.62M ,100M+,Rated for 3+
BHIM SBI Pay:Retail & Business,4.3,437K ,10M+,Rated for 3+
"Yuva Pay:UPI, Wallet, Payments",4,4.05K ,100K+,Rated for 3+
iMobile Pay by ICICI Bank,4.4,3.31M ,10M+,Rated for 3+
CRED: Credit Card Bills & More,4.8,1.11M ,10M+,Rated for 3+
"Money Transfer, BHIM UPI",4.1,16.6K ,1M+,Rated for 3+
Paytm for Business: Accept Payments for Merchants,4.3,398K ,10M+,Rated for 3+
"Bill Payment & Recharge,Wallet",3.2,72.7K ,5M+,Rated for 3+
BharatPe for Merchants,4.2,293K ,10M+,Rated for 3+
Google Pay for Business,4.4,199K ,10M+,Rated for 3+
"MobiKwik- UPI, Bills, PayLater",4.1,1.77M ,50M+,Rated for 3+
"BHIM Axis Pay:UPI,Online Recharge & Money Transfer",4.1,58.7K ,5M+,Rated for 3+
Airtel Thanks – Recharge & UPI,4.3,6.19M ,100M+,Rated for 3+
BHIM - MAKING INDIA CASHLESS,4.6,1.33M ,50M+,Rated for 3+
Stripe Dashboard,4.4,13.3K ,500K+,Rated for 3+
"Freecharge - Pay Later, UPI",3.9,1.23M ,10M+,Rated for 3+
"PayPal - Send, Shop, Manage",3.8,2.64M ,100M+,Rated for 3+
Paytm: Secure UPI Payments,4.6,13.7M ,100M+,Rated for 3+
Payzapp - UPI & Bill Payments,4,441K ,10M+,Rated for 3+
Skrill - Pay & Transfer Money,3.9,155K ,10M+,Rated for 3+
"BHIM YES PAY - UPI, Wallet, Recharge, Bharat QR",3.3,11.6K ,1M+,Rated for 3+
PhonePe Business,4.4,334K ,10M+,Rated for 3+
Fyp- Payment App for Teens,4.3,13.8K ,1M+,Rated for 3+
Razorpay Payments for Business,2.9,2.86K ,500K+,Rated for 3+
"Fave - Cashback, Deals, UPI",3.9,2.15K ,100K+,Rated for 3+
